All bits have been measured 10000 times with the outcome:
   ( 285 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=90>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=92>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=93>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=93>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=96>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=96>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=97>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=99>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=100>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=101>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=104>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=104>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=106>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=118>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=130>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=134>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=141>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=152>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=155>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=159>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=161>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=161>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=162>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=163>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=164>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=165>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=166>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=166>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=166>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=167>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=167>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=167>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=167>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=167>|xbits=5>|reg2=0>|helpers=0000> 
