All bits have been measured 7000 times with the outcome:
   ( 222 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=59>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=59>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=59>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=59>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=61>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=61>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=61>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=63>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=63>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=63>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=63>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 14 )	* |t=65>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 21 )	* |t=65>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 26 )	* |t=65>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 24 )	* |t=65>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=65>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 20 )	* |t=65>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=67>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=67>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=67>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=69>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=69>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=69>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=73>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=74>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=75>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=75>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=75>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=75>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=77>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=77>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=77>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=77>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=77>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=79>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=79>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=79>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=79>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=79>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=79>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=81>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=81>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=81>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=82>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=82>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=82>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=82>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=82>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=82>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=83>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=83>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=83>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=83>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=83>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=84>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=84>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=84>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=84>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=85>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=85>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=85>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=86>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=89>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=89>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=90>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=90>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=90>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=90>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=91>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=91>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=91>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=92>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=92>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=92>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=92>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=92>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=92>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=93>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=94>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 14 )	* |t=95>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=95>|xbits=3>|reg2=0>|helpers=0000> 
