All bits have been measured 1000 times with the outcome:
   ( 24 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 8 )	* |t=97>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=97>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 7 )	* |t=97>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=98>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=98>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=99>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=110>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=113>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=123>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=124>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=124>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=128>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=130>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=138>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=138>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=138>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=140>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=140>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=142>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=142>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=144>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=144>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=144>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=144>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 15 )	* |t=146>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 8 )	* |t=146>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=146>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 10 )	* |t=146>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 13 )	* |t=146>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 10 )	* |t=146>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=147>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=148>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=148>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=148>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=148>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=148>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=149>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=150>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=154>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=154>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=154>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=154>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=154>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=156>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=156>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=156>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=156>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=156>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=158>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=159>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=160>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
