All bits have been measured 7000 times with the outcome:
   ( 202 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=92>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=93>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=94>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=96>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=96>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=97>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=98>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=98>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=107>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=112>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=116>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=130>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=145>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=157>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=158>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=158>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=163>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=163>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=164>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=164>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=164>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=165>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=165>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=167>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=167>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=168>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=168>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=168>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=168>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=169>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=169>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=169>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=169>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=169>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=169>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 36 )	* |t=170>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 31 )	* |t=170>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 33 )	* |t=170>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 35 )	* |t=170>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=170>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 29 )	* |t=170>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 144 )	* |t=171>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 132 )	* |t=171>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 138 )	* |t=171>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 143 )	* |t=171>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 149 )	* |t=171>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 141 )	* |t=171>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=172>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=172>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=172>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=172>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=172>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=172>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=173>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=173>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=173>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=173>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=174>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=175>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=175>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=175>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=176>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=177>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=178>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=178>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=179>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=180>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=181>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=183>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=183>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=183>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=186>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=189>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=200>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=203>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=205>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=215>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=243>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=255>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 201 )	* |t=256>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 188 )	* |t=256>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 194 )	* |t=256>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 220 )	* |t=256>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 178 )	* |t=256>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 184 )	* |t=256>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=284>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=287>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=295>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=303>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=307>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=327>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=329>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=330>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=331>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=331>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=332>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=332>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=333>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=334>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=334>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=335>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=336>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=336>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=336>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=337>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=337>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=337>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=337>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=338>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=338>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=339>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=339>|xbits=2>|reg2=0>|helpers=0000> 
